Race Date,Race Time,Meeting,Horse Name
2025-04-16,6:45,FFO,What Path
2025-04-16,4:25,CHL,Whatacracker
2025-04-16,4:32,BEV,Whatsupwithyou
2025-04-16,2:05,CHL,Wilde About Oscar
2025-04-16,2:05,CHL,Wilhelmina
2025-04-16,3:25,BEV,Williethebuilder
2025-04-16,5:00,CHL,Wimbledon Hawkeye
2025-04-16,3:35,NMK,Wings Of War
2025-04-16,1:10,HAP,Without Delay
2025-04-16,3:50,HAP,Woodythewoodpecker
2025-04-16,5:12,FFO,World Hero
2025-04-16,3:15,HAP,Written Casa
2025-04-16,1:10,HAP,Yes Day
2025-04-16,3:15,CHL,Yorgunnabeplucky
2025-04-16,7:45,FFO,Zain Nights
2025-04-16,3:50,CHL,Open Account
2025-04-16,3:50,CHL,Open Account
2025-04-16,3:50,CHL,Open Account
2025-04-16,3:50,CHL,Open Account
2025-04-16,3:50,CHL,Open Account
2025-04-16,3:50,CHL,Open Account
2025-04-16,3:50,CHL,Open Account
